
OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
OBJECT,217.252125,-62.695083,299.C-5022(A),HAWKI,ACQUISITION,OBJECT,IMAGE,HAWKI.2017-06-28T03:56:21.604,Jun 28 2018,HAWKI_img_acq_FastPhot,2017-06-28T03:51:02,    16.762,2086.000,2105.000,"OPEN,NB2090",57932.164139,1.533,1.08
OBJECT,217.252375,-62.695167,299.C-5022(A),HAWKI,ACQUISITION,OBJECT,IMAGE,HAWKI.2017-06-28T01:47:30.092,Jun 28 2018,HAWKI_img_acq_FastPhot,2017-06-28T01:34:24,    16.762,2086.000,2105.000,"OPEN,NB2090",57932.074654,1.295,0.95
OBJECT,217.252375,-62.695167,299.C-5022(A),HAWKI,ACQUISITION,OBJECT,IMAGE,HAWKI.2017-06-28T01:50:10.810,Jun 28 2018,HAWKI_img_acq_FastPhot,2017-06-28T01:34:24,    16.762,2086.000,2105.000,"OPEN,NB2090",57932.076514,1.297,0.96
OBJECT,217.252750,-62.695222,299.C-5022(A),HAWKI,ACQUISITION,OBJECT,IMAGE,HAWKI.2017-06-28T03:58:13.314,Jun 28 2018,HAWKI_img_acq_FastPhot,2017-06-28T03:51:02,    16.762,2086.000,2105.000,"OPEN,NB2090",57932.165432,1.539,1.22
OBJECT,217.252833,-62.695222,60.A-9800(L),HAWKI,ACQUISITION,OBJECT,IMAGE,HAWKI.2017-05-27T22:52:04.495,May 27 2017,HAWKI_img_acq_FastPhot,2017-05-27T22:37:58,    16.762,2086.000,2105.000,"OPEN,NB2090",57900.952830,1.712,0.64
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:15:11.757,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.218886,1.877,1.45
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:21:14.741,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.223087,1.914,0.95
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:22:45.633,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.224139,1.923,1.16
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:19:44.081,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.222038,1.904,1.31
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:19:13.860,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.221688,1.901,1.31
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:18:43.635,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.221338,1.898,1.31
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:20:14.297,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.222388,1.907,0.95
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:20:44.520,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.222738,1.911,0.95
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:26:17.399,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.226590,1.946,1.16
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:22:15.408,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.223789,1.920,1.16
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:21:45.185,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.223440,1.917,0.95
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:18:13.415,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.220989,1.895,1.31
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:23:46.185,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.224840,1.929,1.16
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:24:16.406,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.225190,1.933,1.16
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:27:17.836,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.227290,1.952,1.16
PROX CENTAURI,217.252958,-62.695278,299.C-5022(A),HAWKI,SCIENCE,OBJECT,"IMAGE,HIT",HAWKI.2017-06-28T05:25:47.176,Jun 28 2018,HAWKI_img_obs_FastPhot,2017-06-28T04:01:55,    28.407,2086.000,2105.000,"OPEN,NB2090",57932.226240,1.942,1.16
