target_name,s_ra,s_dec,dataset,MJD-OBS,em,coord_block,temp_block,cluster
IRAS-05248-7007,81.08646708333335,-70.08377777777775,JWST,59699.18424225868,3221.5000000000005,"(810, -701)",8528,0
J1120+0641,170.00616666666667,6.690083333333334,JWST,59945.24499763918,1147.5,"(1700, 66)",8563,0
GOODSS2009,53.05279125,-27.73193611111111,JWST,60231.32252747327,2950.0,"(530, -278)",8604,0
ABELL2744,3.594322083333333,-30.395694444444416,JWST,60132.28868212906,3560.0,"(35, -304)",8590,0
UNKNOWN,7.908296793933093,-43.7165125794152,JWST,60620.60038706945,4433.0,"(79, -438)",8660,0
GS-MEDIUM-HST,53.15372125,-27.780369444444432,JWST,59859.59314451783,2950.0,"(531, -278)",8551,0
msa-cat-v2,214.9105545833333,52.877091666666665,JWST,60367.50357805371,1400.0,"(2149, 528)",8623,0
PRIMER-UDS-7.2.3-gaia,34.37457416666666,-5.2586638888888615,JWST,60516.20202366539,2950.0,"(343, -53)",8645,0
C3D-17_CWEBTILE-1-2,149.9626008333333,2.5223166666666668,JWST,60652.09255646736,21000.0,"(1499, 25)",8664,0
2MASS-J05042687-5438012,76.11197168340901,-54.63364659397645,JWST,59631.12413615827,2121.5,"(761, -547)",8518,0
SN2024PXL,263.11391541666666,7.062436111111111,JWST,60535.43183220949,7500.0,"(2631, 70)",8647,0
PRIMER-UDS-7.2.3-gaia,34.37457416666666,-5.2586638888888615,JWST,60663.42978239399,2950.0,"(343, -53)",8666,0
CEERS-NIRSPEC-P11-PRISM-MSATA,214.8947875,52.84551388888889,JWST,59984.95301996343,2950.0,"(2148, 528)",8569,0
J1652,253.011,17.481188888888887,JWST,60493.794874852494,1500.0,"(2530, 174)",8641,0
UNKNOWN,137.72506205654506,-4.408498016373732,JWST,60265.95479357767,1550.0,"(1377, -45)",8609,0
J0910m0414_all_objects_new,137.71192916666666,-4.239305555555575,JWST,60262.59198161539,3560.0,"(1377, -43)",8608,0
UNKNOWN,67.89109807797387,-5.032450439457205,JWST,60696.61704593866,4433.0,"(678, -51)",8670,0
MACSJ1149+2223,177.399375,22.39827222222222,JWST,60074.83918999578,900.0,"(1773, 223)",8582,0
1998-BC1,235.34017810052745,-19.2049759872163,JWST,59774.41559333101,15000.0,"(2353, -193)",8539,0
JADES-Deep-Field,53.06162166666666,-27.872025000000008,JWST,60599.05884818964,3221.5000000000005,"(530, -279)",8657,0
HD-84406,146.8773091666667,63.24780833333333,JWST,59612.83373715186,4819.5,"(1468, 632)",8516,0
UNKNOWN,130.36514906633502,48.60326927416887,JWST,60054.45591317472,1150.0,"(1303, 486)",8579,0
2MASS-J17505849+7229108,267.7437379166666,72.48634166666666,JWST,59638.36808970232,2503.5,"(2677, 724)",8519,0
PRIMER-UDS-7.2.3-gaia,34.37457416666666,-5.2586638888888615,JWST,60531.10158734861,2950.0,"(343, -53)",8647,0
P330E,247.8908210050023,30.1459816220775,JWST,59713.11905052303,800.0,"(2478, 301)",8530,0
UNKNOWN,0.0,0.0,JWST,59680.36876542731,10000.0,"(0, 0)",8525,0
UNKNOWN,63.94467269649196,-24.172749842480385,JWST,60618.210925233856,4433.0,"(639, -242)",8659,0
2MASS-J17554042+6551277,268.9183320833334,65.85770833333332,JWST,59645.082186366606,2800.0,"(2689, 658)",8520,0
HATS-6,88.14680144389628,-19.03160911322548,JWST,60324.26871619884,2950.0,"(881, -191)",8617,0
UNKNOWN,189.26729539007044,62.34301033251593,JWST,60720.10518661962,4433.0,"(1892, 623)",8674,0
GALACTICPLANE2,280.6125,-8.408055555555563,JWST,59712.83646142981,1499.5,"(2806, -85)",8530,0
UNKNOWN,334.3353354430501,0.2548544283331014,JWST,60622.5949925467,1990.5,"(3343, 2)",8660,0
SMP-LMC-58,81.08652083333334,-70.08375555555557,JWST,60615.52540647164,3221.5000000000005,"(810, -701)",8659,0
UNKNOWN,356.5946739339999,12.92406137078882,JWST,60485.80584190683,1499.5,"(3565, 129)",8640,0
A2744_NIRSpec_v4_MSA2_obs9,3.5040075,-30.345330555555563,JWST,60494.84562554213,2950.0,"(35, -304)",8642,0
GS-MEDIUM-HST,53.15372125,-27.780369444444432,JWST,59971.924234031714,2950.0,"(531, -278)",8567,0
J0229M0808,37.39685833333333,-8.139716666666686,JWST,59807.36604406499,4400.0,"(373, -82)",8543,0
J0226P0302,36.50779166666667,3.0498,JWST,59801.56501482309,4400.0,"(365, 30)",8543,0
XMM1-Z-151269,34.69779166666667,-5.172305555555568,JWST,60691.03107143461,701.0,"(346, -52)",8670,0
1181-MERGED-APT-CLEAN-CLEAN,189.13386291666663,62.26666111111111,JWST,59980.01325118449,2950.0,"(1891, 622)",8568,0
M0416,64.05019333333334,-24.09331944444444,JWST,60300.6487421996,4631.0,"(640, -241)",8614,0
CEERS-NIRSPEC-P10-MR-MSATA,214.9116945833333,52.85838888888889,JWST,59935.16650790463,2850.0,"(2149, 528)",8562,0
1287_trim_final_clean,53.08138625,-27.86647499999998,JWST,60320.54645057107,2850.0,"(530, -279)",8617,0
WIDE2024,150.09313333333333,2.381902777777778,JWST,60286.89485807245,2950.0,"(1500, 23)",8612,0
UNKNOWN,349.1031390002032,-59.15508823961532,JWST,60234.91854204051,1499.5,"(3491, -592)",8604,0
CEERS-NIRSPEC-P8-PRISM-MSATA,215.10220708333333,52.98559722222223,JWST,59934.77185300162,2950.0,"(2151, 529)",8562,0
