intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-1-1,75.25737931561709,48.394182281372565,image,"Ricker, George",3,60635.759117222224,60662.33110704861,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 84.397259 54.220049 84.340478 42.731886 67.849991 41.751568 64.359824 53.425924 84.397259 54.220049,,,PUBLIC,False,,236870228,700694124
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-1-2,57.523191229210205,46.00191016215374,image,"Ricker, George",3,60635.759398090275,60662.33080831019,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 64.081165 53.379423 67.62671 41.711452 52.195423 38.463737 46.379456 49.163669 64.081165 53.379423,,,PUBLIC,False,,236870229,700703621
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-1-3,61.742441440864376,34.42209950310694,image,"Ricker, George",3,60635.75979309028,60662.33120945602,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 56.900467 27.410355 52.298245 38.232035 67.682461 41.457243 70.101446 29.709816 56.900467 27.410355,,,PUBLIC,False,,236870242,700713800
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-1-4,76.59971653728017,36.40575412996268,image,"Ricker, George",3,60635.75951332176,60662.33150944445,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 70.29962 29.735295 67.909289 41.484483 84.326369 42.4735 83.925435 30.988125 70.29962 29.735295,,,PUBLIC,False,,236870243,700721420
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-2-1,71.01834476226206,72.11737660150142,image,"Ricker, George",3,60635.75775009259,60662.32973439815,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 95.427814 77.267546 87.798089 66.012517 58.089341 65.068322 42.982691 75.947124 95.427814 77.267546,,,PUBLIC,False,,236870245,700730556
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-2-2,37.50401018156783,67.4922517223861,image,"Ricker, George",3,60635.7580259838,60662.329430590275,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 42.356322 75.86303 57.677915 65.022354 34.630883 59.087104 16.286344 67.150322 42.356322 75.86303,,,PUBLIC,False,,236870248,700740843
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-2-3,50.66781929213704,57.064990395378864,image,"Ricker, George",3,60635.75884908565,60662.330253182874,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 46.099441 49.386963 34.968903 58.878749 57.88955 64.757794 64.017263 53.26775 46.099441 49.386963,,,PUBLIC,False,,236870249,700749778
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-2-4,73.5654937020946,60.128462781421334,image,"Ricker, George",3,60635.758573356485,60662.33055684028,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 64.289278 53.300712 58.27894 64.809113 87.684357 65.748281 84.289183 54.385971 64.289278 53.300712,,,PUBLIC,False,,236870333,700758124
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-3-1,8.184143051781051,75.07971824131248,image,"Ricker, George",3,60635.75711262732,60662.3285183912,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 15.752091 67.29029 344.703486 70.125083 344.81612 82.345156 42.40894 75.855226 15.752091 67.29029,,,PUBLIC,False,,236870334,700769279
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-3-2,61.191844141421534,83.92483095336476,image,"Ricker, George",3,60635.75683193287,60662.32881675926,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 42.971739 75.938329 344.850896 82.50859 164.325307 85.267937 95.996725 77.625463 42.971739 75.938329,,,PUBLIC,False,,236870335,700778210
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-3-3,267.63328709851976,83.71352679400904,image,"Ricker, George",3,60635.75572596065,60662.327712881946,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 233.635838 77.42849 167.574015 85.262783 342.739995 82.502232 285.848395 75.755078 233.635838 77.42849,,,PUBLIC,False,,236870336,700785153
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-3-4,320.36139981192133,74.9957939361447,image,"Ricker, George",3,60635.756008819444,60662.32741679398,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 286.420425 75.681554 342.893 82.339979 343.969459 70.121013 313.075502 67.187353 286.420425 75.681554,,,PUBLIC,False,,236870342,700793207
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-4-1,291.2231739478249,67.39884322021857,image,"Ricker, George",3,60635.754935543984,60662.326350497686,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 312.369806 67.076416 294.107878 58.996701 271.134551 64.921984 286.357267 75.766357 312.369806 67.076416,,,PUBLIC,False,,236870343,700803710
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0086-4-2,257.9069829917115,72.0367970833542,image,"Ricker, George",3,60635.75465790509,60662.326652013886,158.399926,600.0,1000.0,,60697.0,N/A,,86,POLYGON 285.806772 75.864682 270.774312 64.983564 241.161783 65.941547 233.649835 77.20414 285.806772 75.864682,,,PUBLIC,False,,236870344,700810372
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-1-1,120.87913980234687,-5.690162051800396,image,"Ricker, George",3,59962.298146458335,59987.72845820602,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 113.693954 -9.653004 116.367596 1.522525 128.221029 -1.485205 125.246393 -13.021095 113.693954 -9.653004,,,PUBLIC,False,,118308868,217885474
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-1-2,132.85635447219107,-8.698760820108628,image,"Ricker, George",3,59962.29787282407,59987.728740300925,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 125.419531 -13.055741 128.389622 -1.517737 140.275604 -4.454168 137.333774 -15.570268 125.419531 -13.055741,,,PUBLIC,False,,118308869,217885475
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-1-3,135.77157079502058,2.9603326556974796,image,"Ricker, George",3,59962.29828103009,59987.72914283565,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 142.882045 6.98771 140.336394 -4.215896 128.457525 -1.268704 131.402544 10.274317 142.882045 6.98771,,,PUBLIC,False,,118308870,217885476
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-1-4,123.85097938499592,5.969490279601788,image,"Ricker, George",3,59962.298555891204,59987.728861828706,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 131.231507 10.320139 128.290792 -1.22298 116.434177 1.772755 119.453389 12.872912 131.231507 10.320139,,,PUBLIC,False,,118308871,217885477
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-2-1,113.48017192090616,-28.43504564729519,image,"Ricker, George",3,59962.29675170139,59987.727068148146,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 104.780248 -31.533449 109.355588 -20.80406 121.933345 -24.66894 117.919817 -36.063395 104.780248 -31.533449,,,PUBLIC,False,,118308872,217885478
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-2-2,127.07345499455039,-31.964259039883704,image,"Ricker, George",3,59962.29647288194,59987.727345127314,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 118.120067 -36.126538 122.118831 -24.727539 135.391643 -27.473013 132.64924 -38.728957 118.120067 -36.126538,,,PUBLIC,False,,118308873,217885479
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-2-3,130.11390521243007,-20.239137691369717,image,"Ricker, George",3,59962.29730849537,59987.7281815625,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 137.337291 -15.856513 135.444122 -27.205267 122.200387 -24.458298 125.508177 -12.971956 137.337291 -15.856513,,,PUBLIC,False,,118308874,217885480
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-2-4,117.63274174437346,-17.026983547214094,image,"Ricker, George",3,59962.297587141205,59987.72790469907,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 125.343329 -12.926356 122.018146 -24.409213 109.45976 -20.553599 113.717017 -9.82825 125.343329 -12.926356,,,PUBLIC,False,,118308877,217885579
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-3-1,123.57861232764695,-43.51207486503553,image,"Ricker, George",3,59962.295546875,59987.72641766204,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 132.589725 -38.975295 130.90016 -50.399962 112.848752 -47.359223 118.11792 -36.112623 132.589725 -38.975295,,,PUBLIC,False,,118308878,217887600
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-3-2,108.09334080660076,-39.51531491967101,image,"Ricker, George",3,59962.29582024305,59987.726135833334,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 117.930902 -36.060126 112.627908 -47.296656 97.282377 -41.77569 104.592259 -31.877518 117.930902 -36.060126,,,PUBLIC,False,,118311734,217892822
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-3-3,100.27809365897754,-50.215288552316345,image,"Ricker, George",3,59962.29469991898,59987.72501304398,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 87.516284 -51.450248 97.092104 -42.00359 112.482485 -47.554273 104.249093 -58.396518 87.516284 -51.450248,,,PUBLIC,False,,118311739,217893686
